"Product ID",SKU,"Matrix ID","Product Code",Name,Description,"Description HTML","Stock Type","Stock Level","Price (RRP)","Trade Price",Categories,Brand,"Product Range",Material,Size,Height,Length,Width,Weight,Colour,Image,"Created At","Updated At","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10"
36,BASAMAYABLACKL/XL,1541,basamayblk,"Bassaya Amaya Black BlackL/XL","Erotic and raunchy two piece set. Halter neck open bra and string in translucent tulle, finished with bows. Available in black (red and white versions also available). All products come packaged in their own branded boxes.","<p>Erotic and raunchy two piece set. Halter neck open bra and string in translucent tulle, finished with bows. Available in black (red and white versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,amber,12.9900,6.0800,Bassaya,Bassaya,"Bassaya Amaya Black","90% Polyester/10% Elastane",L/XL,4.2,21,15,0.0800,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/basamaya_black.jpg,"2016-02-12 11:00:55","2017-09-15 16:55:04",https://www.alterego-lingerie.com/media/catalog/product/b/a/basamaya_black.jpg,,,,,,,,,
38,BASAMAYAWHITEL/XL,1545,basamaywht,"Bassaya Amaya White WhiteL/XL","Erotic and raunchy two piece set. Halter neck open bra and string in translucent tulle, finished with bows. Available in white (red and black versions also available). All products come packaged in their own branded boxes.","<p>Erotic and raunchy two piece set. Halter neck open bra and string in translucent tulle, finished with bows. Available in white (red and black versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,12.9900,6.0800,Bassaya,Bassaya,"Bassaya Amaya White","90% Polyester/10% Elastane",L/XL,4.2,21,15,0.0800,White,https://www.alterego-lingerie.com/media/catalog/product/b/a/basamaya_white.jpg,"2016-02-12 11:00:55","2017-09-15 16:56:02",https://www.alterego-lingerie.com/media/catalog/product/b/a/basamaya_white.jpg,,,,,,,,,
40,BASCAMILABLACKL/XL,1547,bascamiblk,"Bassaya Camila Black BlackL/XL","Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in black (red and white versions also available). All products come packaged in their own branded boxes.","<p>Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in black (red and white versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,amber,16.9900,7.7300,Bassaya,Bassaya,"Bassaya Camila Black","90% Polyester/10% Elastane",L/XL,4.2,21,15,0.1100,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_black.jpg,"2016-02-12 11:00:55","2017-09-15 16:55:04",https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_black.jpg,,,,,,,,,
41,BASCAMILABLACKS/M,1548,bascamiblk,"Bassaya Camila Black BlackS/M","Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in black (red and white versions also available). All products come packaged in their own branded boxes.","<p>Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in black (red and white versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,16.9900,7.7300,Bassaya,Bassaya,"Bassaya Camila Black","90% Polyester/10% Elastane",S/M,4.2,21,15,0.1100,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_black.jpg,"2016-02-12 11:00:55","2017-09-15 16:55:16",https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_black.jpg,,,,,,,,,
46,BASCAMILAWHITEL/XL,1553,bascamiwht,"Bassaya Camila White WhiteL/XL","Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in white (black and red versions also available). All products come packaged in their own branded boxes.","<p>Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in white (black and red versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,green,16.9900,7.7300,Bassaya,Bassaya,"Bassaya Camila White","90% Polyester/10% Elastane",L/XL,4.2,21,15,0.1100,White,https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_white.jpg,"2016-02-12 11:00:55","2017-09-15 16:55:41",https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_white.jpg,,,,,,,,,
47,BASCAMILAWHITES/M,1554,bascamiwht,"Bassaya Camila White WhiteS/M","Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in white (black and red versions also available). All products come packaged in their own branded boxes.","<p>Sensual and revealing see through 'ripped' tulle mini dress with matching string. Available in white (black and red versions also available). All products come packaged in their own branded boxes.</p>",Discontinued,amber,16.9900,7.7300,Bassaya,Bassaya,"Bassaya Camila White","90% Polyester/10% Elastane",S/M,4.2,21,15,0.1100,White,https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_white.jpg,"2016-02-12 11:00:55","2017-09-15 16:55:05",https://www.alterego-lingerie.com/media/catalog/product/b/a/bascamila_white.jpg,,,,,,,,,
58,BASDONATAWHITELXL,1565,basdonawht,"Bassaya Donata White WhiteL/XL","Striking slick white leather look mini dress with translucent panels. Ideal club/fetish wear. Available in white. All products come packaged in their own branded boxes.","<p>Striking slick white leather look mini dress with translucent panels. Ideal club/fetish wear. Available in white. All products come packaged in their own branded boxes.</p>",Discontinued,green,34.9900,15.9700,Bassaya,Bassaya,"Bassaya Donata White","80% Polyester/20% Elastane",L/XL,4.2,21,15,0.1800,White,https://www.alterego-lingerie.com/media/catalog/product/b/a/basdonata.jpg,"2016-02-12 11:00:56","2017-09-15 16:56:12",https://www.alterego-lingerie.com/media/catalog/product/b/a/basdonata.jpg,,,,,,,,,
60,BASELIABODYL/XL,1567,baselibod,"Bassaya Elia Body WhiteL/XL","Quarter cup body with revealing open teardrop design at the midriff and string back. The body has an open back which fastens at the lower back with a pretty white ribbon. Available in white. All products come packaged in their own branded boxes.","<p>Quarter cup body with revealing open teardrop design at the midriff and string back. The body has an open back which fastens at the lower back with a pretty white ribbon. Available in white. All products come packaged in their own branded boxes.</p>",Discontinued,green,19.9900,9.2800,Bassaya,Bassaya,"Bassaya Elia Body","97% Polyester/3% Elastane",L/XL,4.2,21,15,0.1500,White,https://www.alterego-lingerie.com/media/catalog/product/b/a/baseliabody.jpg,"2016-02-12 11:00:56","2017-09-15 16:55:41",https://www.alterego-lingerie.com/media/catalog/product/b/a/baseliabody.jpg,,,,,,,,,
61,BASELIABODYS/M,1568,baselibod,"Bassaya Elia Body WhiteS/M","Quarter cup body with revealing open teardrop design at the midriff and string back. The body has an open back which fastens at the lower back with a pretty white ribbon. Available in white. All products come packaged in their own branded boxes.","<p>Quarter cup body with revealing open teardrop design at the midriff and string back. The body has an open back which fastens at the lower back with a pretty white ribbon. Available in white. All products come packaged in their own branded boxes.</p>",Discontinued,amber,19.9900,9.2800,Bassaya,Bassaya,"Bassaya Elia Body","97% Polyester/3% Elastane",S/M,4.2,21,15,0.1500,White,https://www.alterego-lingerie.com/media/catalog/product/b/a/baseliabody.jpg,"2016-02-12 11:00:56","2017-09-15 16:55:05",https://www.alterego-lingerie.com/media/catalog/product/b/a/baseliabody.jpg,,,,,,,,,
83,BASNATALIEBLACKS/M,1592,basnatalie,"Bassaya Natalie BlackS/M","Sumptuous figure hugging babydoll in black and white lace with sexy see through sides. String included. Available in black. All products come packaged in their own branded boxes.","<p>Sumptuous figure hugging babydoll in black and white lace with sexy see through sides. String included. Available in black. All products come packaged in their own branded boxes.</p>",Discontinued,amber,18.9900,8.4600,Bassaya,Bassaya,"Bassaya Natalie",N/A,S/M,4.2,21,15,0.1200,Black,https://www.alterego-lingerie.com/media/catalog/product/b/a/basnatalie.jpg,"2016-02-12 11:00:56","2017-09-15 16:55:16",https://www.alterego-lingerie.com/media/catalog/product/b/a/basnatalie.jpg,,,,,,,,,
